account_id,operation,amount,balance,k_symbol,bank,account,year,month,day,dayofweek,type
622,2,49341.73206031818,77442.67430649938,7,13,7665,1994,1,14,2,2
774,0,4918.437565046688,18358.875891455635,5,10,4428,1994,2,7,2,2
2342,5,2437.570701239375,39818.69916298016,7,13,7665,1993,7,30,0,1
2402,0,218.37302132693483,12029.553364259009,7,0,6650,1993,12,11,0,1
1782,3,70.03059604111732,27310.686269783717,3,11,2506,1993,12,17,5,0
466,5,10546.153905382507,68454.15636508769,7,13,7665,1993,8,31,3,1
3887,5,3164.1086649428985,27829.63027440453,7,13,7665,1993,11,7,0,2
960,4,2549.9469491854525,75665.14282241993,7,9,3774,1993,10,28,6,2
2541,3,108.34700705178601,24679.468821100018,3,11,3083,1994,1,6,1,2
603,0,5021.412305756046,9148.156160381945,7,11,1138,1993,9,16,5,2
2227,4,1918.397623615452,27842.18921589088,7,13,7665,1994,1,9,2,2
536,2,0.7408768203488993,-9.604923689930729,3,4,3133,1993,10,30,3,2
1332,2,6349.740917137653,44868.78856642528,7,5,4274,1993,11,30,1,2
1091,5,2151.8037179747907,22252.731914328833,7,13,7665,1993,7,14,0,1
960,5,1281.8261354706956,826.7420356110606,7,13,7665,1994,3,13,0,1
2315,5,7639.217887107882,25519.750396350573,6,13,7665,1993,11,9,1,2
622,4,2552.5837852446425,21644.891278575196,2,13,7665,1994,3,15,2,2
1084,0,5347.202072967784,24220.46540404368,0,11,7597,1993,4,12,5,1
126,2,24239.536581482836,41042.559996924545,7,13,7665,1993,12,30,4,1
3802,5,14573.315436886352,31007.886518389954,7,13,7665,1993,6,15,4,2
4408,5,13.83684394251501,36088.318441105104,6,13,7665,1994,4,8,0,2
2902,4,815.4420683636451,15084.555389525736,6,7,139,1993,3,23,5,2
3686,3,58.05746358728592,4215.893915955385,7,13,3917,1993,10,1,4,2
1142,4,3107.25632166841,16824.783250257995,7,13,7665,1994,2,24,5,2
1091,4,13.600333811407097,7151.15125743856,6,13,7665,1993,12,10,0,1
1591,5,30055.362186639137,9274.847018385251,7,13,7665,1993,12,13,0,1
3447,3,19.51852132553497,11957.872141280084,3,5,1328,1993,10,13,2,2
3376,3,89.13144156476483,39934.091515256936,3,4,1411,1994,2,8,1,2
