account_id,operation,amount,balance,k_symbol,bank,account,time_diff,type
99,2,32252,38997,7,13,7665,282,1
1080,5,11634,47042,0,13,7665,372,2
2761,0,6380,14580,7,5,3845,453,1
3447,4,2500,25932,7,11,4252,308,1
3099,4,2024,15984,1,3,2623,178,2
4334,5,1204,-115,0,13,7665,400,2
4468,0,8102,38482,7,13,7665,93,1
62,5,8026,29064,0,13,7665,381,1
706,3,15,27454,6,9,6418,395,1
1782,4,1890,32831,7,3,1953,422,1
845,0,3429,101970,7,13,5636,82,1
1916,4,13743,49271,7,13,7665,304,2
4280,5,14,20843,6,13,7665,425,2
2855,4,2521,23006,7,4,1670,469,2
4283,0,2193,16473,7,13,4801,248,2
2580,5,14,25478,0,13,7665,403,2
1076,4,14287,60548,7,13,7665,363,2
669,5,4479,2417,7,13,7665,314,1
2490,2,46731,55779,7,13,7665,216,1
1162,4,44,40024,0,9,6731,216,2
3718,0,5412,31669,7,3,2734,284,2
375,5,6966,37068,7,13,7665,381,1
1094,3,111,15779,3,13,7665,449,1
603,5,2942,13604,7,13,7665,458,1
3253,2,9373,433,7,13,7665,376,2
4468,3,289,15750,1,12,6108,257,1
4084,3,42,37046,7,13,7665,406,2
3153,2,4297,7024,4,9,7423,377,2
4047,5,3839,50729,0,13,7665,237,2
1819,4,1318,1540,7,11,4615,463,2
700,3,4,24014,3,13,7665,108,1
376,0,3749,21310,7,7,4368,372,2
3511,3,174,17504,3,4,5725,347,1
3774,4,1860,15704,7,13,7665,318,2
3140,2,11336,55933,7,13,7665,455,1
1076,3,64,33199,7,13,7665,401,1
1080,5,211,23592,0,5,7665,439,2
669,4,907,20878,0,7,6722,390,2
2679,2,10530,6975,7,13,7665,456,1
4144,5,1881,36945,7,13,7665,95,1
4415,5,3891,-338,7,13,7665,421,2
3923,3,124,45012,3,8,2296,319,1
158,4,8673,50211,0,2,792,433,2
3559,4,4046,16864,0,13,7665,368,2
515,2,199,40784,7,3,6023,308,2
2755,3,104,16046,7,8,2683,421,1
3465,0,3176,25560,7,10,79,461,2
3513,5,195,30679,3,13,7665,364,2
2677,2,16940,58134,7,13,7665,305,2
1,5,133,37058,0,12,5766,368,2
2855,5,14,32783,7,13,7665,445,2
2925,4,2357,46705,7,13,7665,391,2
2677,5,18473,48286,7,13,7665,247,2
330,2,612,81136,3,8,6418,280,2
3785,5,14,16047,6,13,7665,371,2
3721,3,311,7430,3,9,4227,293,2
1350,3,7,26862,3,11,1087,463,1
455,5,4444,29808,0,13,7665,433,1
1014,2,12109,16430,7,13,5756,459,1
2105,5,473,31415,7,13,7665,390,2
