account_id,type,operation,amount,balance,k_symbol,bank,account,time_diff
2259,1,2,700,700,7,13,7665,0
550,1,2,900,900,7,13,7665,0
669,1,2,1000,1000,7,13,7665,0
3627,1,2,600,600,7,13,7665,0
1877,1,2,400,400,7,13,7665,1
2505,1,2,1100,1100,7,13,7665,1
1460,1,2,600,600,7,13,7665,2
2361,1,2,1100,1100,7,13,7665,2
1610,1,2,200,200,7,13,7665,2
754,1,2,800,800,7,13,7665,2
1641,1,2,1000,1000,7,13,7665,2
462,1,2,300,300,7,13,7665,3
2073,1,2,800,800,7,13,7665,3
2239,1,2,800,800,7,13,7665,3
2740,1,2,700,700,7,13,7665,3
2073,1,0,5123,5923,5,12,4802,4
4366,1,2,400,400,7,13,7665,4
754,1,0,3401,4201,7,4,477,4
623,1,2,700,700,7,13,7665,4
1756,1,2,500,500,7,13,7665,5
1832,1,2,700,700,7,13,7665,5
1756,1,0,3242,3742,7,9,3354,6
3332,1,2,500,500,7,13,7665,6
1215,1,2,400,400,7,13,7665,6
1877,1,0,5298,5698,5,10,1145,6
2274,1,2,900,900,7,13,7665,6
415,1,2,400,400,7,13,7665,7
1215,1,2,6774,7174,7,13,7665,7
181,1,2,300,300,7,13,7665,7
1610,1,2,11832,12032,7,13,7665,7
2022,1,2,300,300,7,13,7665,7
1556,1,2,500,500,7,13,7665,7
1990,1,2,600,600,7,13,7665,7
726,1,2,1100,1100,7,13,7665,7
3414,1,2,600,600,7,13,7665,7
3677,1,2,300,300,7,13,7665,7
3311,1,2,800,800,7,13,7665,7
1416,1,2,200,200,7,13,7665,8
356,1,2,400,400,7,13,7665,8
2505,1,2,14264,15364,7,13,7665,8
1645,1,2,900,900,7,13,7665,8
623,1,2,13851,14551,7,13,7665,8
3627,1,2,17366,17966,7,13,7665,8
2260,1,2,800,800,7,13,7665,9
2784,1,2,1000,1000,7,13,7665,9
1547,1,2,700,700,7,13,7665,9
3414,1,0,6007,6607,5,6,5649,9
825,1,2,500,500,7,13,7665,9
1272,1,2,400,400,7,13,7665,10
550,1,0,6207,7107,5,12,2381,10
1884,1,2,900,900,7,13,7665,10
825,1,2,12644,13144,7,13,7665,10
329,1,2,800,800,7,13,7665,10
2239,1,0,6434,7234,5,7,2665,11
2361,1,2,14779,15879,7,13,7665,11
1832,1,2,4507,5207,7,13,7665,11
2784,1,2,6446,7446,7,13,7665,11
1816,1,2,800,800,7,13,7665,11
669,1,2,17477,18477,7,13,7665,11
1547,1,0,4276,4976,5,10,1281,11
2001,1,2,1100,1100,7,13,7665,11
1416,1,0,5009,5209,5,0,4173,12
3571,1,2,1000,1000,7,13,7665,12
1556,1,0,5718,6218,5,10,3477,12
4029,1,2,800,800,7,13,7665,12
1641,1,2,13967,14967,7,13,7665,12
2740,1,2,6959,7659,7,13,7665,12
3311,1,2,15914,16714,7,13,7665,12
4366,1,0,4470,4870,5,1,2950,13
2785,1,2,600,600,7,13,7665,13
1614,1,2,800,800,7,13,7665,13
2274,1,2,10737,11637,7,13,7665,13
3712,1,2,700,700,7,13,7665,13
4029,1,0,44749,45549,7,4,6206,13
1646,1,2,200,200,7,13,7665,13
4487,1,2,1000,1000,7,13,7665,13
2022,1,2,46552,46852,7,13,7665,14
2394,1,2,500,500,7,13,7665,14
462,1,2,13156,13456,7,13,7665,15
1405,1,2,1000,1000,7,13,7665,16
3332,1,2,23323,23823,7,13,7665,16
4420,1,2,1100,1100,7,13,7665,16
3812,1,2,200,200,7,13,7665,17
381,1,2,300,300,7,13,7665,17
3571,1,2,10792,11792,7,13,7665,17
2212,1,2,200,200,7,13,7665,18
1719,1,2,400,400,7,13,7665,18
3641,1,2,700,700,7,13,7665,18
1162,1,2,700,700,7,13,7665,19
199,1,2,200,200,7,13,7665,19
973,1,2,1100,1100,7,13,7665,20
437,1,2,1000,1000,7,13,7665,20
435,1,2,700,700,7,13,7665,20
733,1,2,500,500,7,13,7665,20
4489,1,2,1100,1100,7,13,7665,20
2259,1,2,7268,7968,7,13,7665,21
1457,1,2,300,300,7,13,7665,21
2547,1,2,200,200,7,13,7665,21
2001,1,2,16125,17225,7,13,7665,21
2826,1,2,400,400,7,13,7665,21
2259,1,2,14440,22408,7,13,7665,22
1121,1,2,700,700,7,13,7665,22
2305,1,2,900,900,7,13,7665,22
264,1,2,300,300,7,13,7665,22
2259,1,2,49752,72160,7,13,7665,23
3816,1,2,200,200,7,13,7665,23
2001,1,2,36518,53743,7,13,7665,23
3518,1,2,500,500,7,13,7665,23
4339,1,2,900,900,7,13,7665,23
4006,1,2,300,300,7,13,7665,23
4087,1,2,900,900,7,13,7665,24
455,1,2,1000,1000,7,13,7665,24
955,1,2,200,200,7,13,7665,24
2259,1,2,21899,94059,7,13,7665,25
462,1,2,12336,25792,7,13,7665,25
1664,1,2,1100,1100,7,13,7665,25
1927,1,2,200,200,7,13,7665,25
1566,1,2,700,700,7,13,7665,25
4128,1,2,1100,1100,7,13,7665,25
4128,1,2,19961,21061,7,13,7665,25
153,1,2,900,900,7,13,7665,26
2541,1,2,1100,1100,7,13,7665,26
2440,1,2,800,800,7,13,7665,26
1076,1,2,600,600,7,13,7665,26
8,1,2,400,400,7,13,7665,26
1091,1,2,200,200,7,13,7665,27
423,1,2,500,500,7,13,7665,27
3882,1,2,200,200,7,13,7665,27
2761,1,2,200,200,7,13,7665,27
1272,1,2,38000,38400,7,13,7665,28
1990,1,2,16983,17583,7,13,7665,28
3507,1,2,1000,1000,7,13,7665,28
1973,1,2,300,300,7,13,7665,28
3821,1,2,300,300,7,13,7665,29
1755,1,2,1000,1000,7,13,7665,29
2582,1,2,800,800,7,13,7665,29
2259,2,5,34700,59453,7,13,7665,30
1756,1,3,12,3754,3,13,7665,30
2505,1,3,47,15411,3,13,7665,30
1416,1,3,13,5222,3,13,7665,30
825,1,3,37,13181,3,13,7665,30
4128,1,3,17,21078,3,13,7665,30
4366,1,3,11,4892,3,13,7665,30
1272,1,3,15,38415,3,13,7665,30
3571,1,3,22,11814,3,13,7665,30
3627,1,3,55,18021,3,13,7665,30
4366,1,3,11,4881,3,13,7665,30
669,1,3,50,18527,3,13,7665,30
623,1,3,45,14596,3,13,7665,30
1547,1,3,13,4989,3,13,7665,30
1556,1,3,15,6233,3,13,7665,30
1610,1,3,38,12070,3,13,7665,30
1641,1,3,38,15005,3,13,7665,30
550,1,3,20,7127,3,13,7665,30
462,1,3,38,25830,3,13,7665,30
1990,1,3,7,17590,3,13,7665,30
2022,1,3,107,46959,3,13,7665,30
3332,1,3,48,23871,3,13,7665,30
2001,1,3,62,53805,3,13,7665,30
669,1,2,2900,21427,7,13,7665,30
2073,1,3,21,5944,3,13,7665,30
1877,1,3,19,5717,3,13,7665,30
1832,1,3,14,5221,3,13,7665,30
3414,1,3,19,6626,3,13,7665,30
3311,1,3,42,16756,3,13,7665,30
754,1,3,15,4216,3,13,7665,30
4339,1,2,5282,6182,7,13,7665,30
2259,1,3,94,94153,3,13,7665,30
2239,1,3,19,7253,3,13,7665,30
2274,1,3,28,11665,3,13,7665,30
2361,1,3,42,15921,3,13,7665,30
4029,1,3,110,45659,3,13,7665,30
4339,1,3,0,6182,3,13,7665,30
1215,1,3,23,7197,3,13,7665,30
2784,1,3,20,7466,3,13,7665,30
2740,1,3,19,7678,3,13,7665,30
3627,1,2,2000,20021,7,13,7665,30
2505,1,2,5100,20511,7,13,7665,31
1591,1,2,1100,1100,7,13,7665,31
4084,1,2,200,200,7,13,7665,32
1460,1,2,11900,12500,7,13,7665,32
2448,1,2,1100,1100,7,13,7665,32
2361,1,2,5500,21421,7,13,7665,32
1610,1,2,7500,19570,7,13,7665,32
1718,1,2,1100,1100,7,13,7665,32
2860,1,2,800,800,7,13,7665,32
1641,1,2,6000,21005,7,13,7665,32
821,1,2,200,200,7,13,7665,32
2313,1,2,600,600,7,13,7665,32
