,Unnamed: 0,ItinID,MktID,MktCoupons,Year,Quarter,OriginAirportID,OriginAirportSeqID,OriginCityMarketID,Origin,OriginCountry,OriginStateFips,OriginState,OriginStateName,OriginWac,DestAirportID,DestAirportSeqID,DestCityMarketID,Dest,DestCountry,DestStateFips,DestState,DestStateName,DestWac,AirportGroup,WacGroup,TkCarrierChange,TkCarrierGroup,OpCarrierChange,OpCarrierGroup,RPCarrier,TkCarrier,OpCarrier,BulkFare,Passengers,MktFare,MktDistance,MktDistanceGroup,MktMilesFlown,NonStopMiles,ItinGeoType,MktGeoType,Unnamed: 41
0,0,201513772623,20151377262301,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,12.0,120.0,1242.0,3,1242.0,1242.0,2,2,
1,1,201513772624,20151377262401,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,121.0,1242.0,3,1242.0,1242.0,2,2,
2,2,201513772625,20151377262501,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,126.0,1242.0,3,1242.0,1242.0,2,2,
3,3,201513772626,20151377262601,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,25.0,129.0,1242.0,3,1242.0,1242.0,2,2,
4,4,201513772627,20151377262701,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,3.0,131.0,1242.0,3,1242.0,1242.0,2,2,
5,5,201513772628,20151377262801,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,19.0,136.0,1242.0,3,1242.0,1242.0,2,2,
6,6,201513772629,20151377262901,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,2.0,140.0,1242.0,3,1242.0,1242.0,2,2,
7,7,201513772630,20151377263001,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,16.0,144.0,1242.0,3,1242.0,1242.0,2,2,
8,8,201513772631,20151377263101,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,4.0,147.0,1242.0,3,1242.0,1242.0,2,2,
9,9,201513772632,20151377263201,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,3.0,148.0,1242.0,3,1242.0,1242.0,2,2,
10,10,201513772633,20151377263301,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,13.0,149.0,1242.0,3,1242.0,1242.0,2,2,
11,11,201513772634,20151377263401,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,6.0,155.0,1242.0,3,1242.0,1242.0,2,2,
12,12,201513772635,20151377263501,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,6.0,163.0,1242.0,3,1242.0,1242.0,2,2,
13,13,201513772636,20151377263601,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,6.0,167.0,1242.0,3,1242.0,1242.0,2,2,
14,14,201513772637,20151377263701,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,6.0,175.0,1242.0,3,1242.0,1242.0,2,2,
15,15,201513772638,20151377263801,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,2.0,176.0,1242.0,3,1242.0,1242.0,2,2,
16,16,201513772639,20151377263901,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,3.0,182.0,1242.0,3,1242.0,1242.0,2,2,
17,17,201513772640,20151377264001,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,8.0,184.0,1242.0,3,1242.0,1242.0,2,2,
18,18,201513772641,20151377264101,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,202.0,1242.0,3,1242.0,1242.0,2,2,
19,19,201513772642,20151377264201,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,4.0,204.0,1242.0,3,1242.0,1242.0,2,2,
20,20,201513772643,20151377264301,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,5.0,208.0,1242.0,3,1242.0,1242.0,2,2,
21,21,201513772644,20151377264401,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,209.0,1242.0,3,1242.0,1242.0,2,2,
22,22,201513772645,20151377264501,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,214.0,1242.0,3,1242.0,1242.0,2,2,
23,23,201513772646,20151377264601,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,4.0,216.0,1242.0,3,1242.0,1242.0,2,2,
24,24,201513772647,20151377264701,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,27.0,236.0,1242.0,3,1242.0,1242.0,2,2,
25,25,201513772648,20151377264801,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,2.0,237.0,1242.0,3,1242.0,1242.0,2,2,
26,26,201513772649,20151377264901,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,259.0,1242.0,3,1242.0,1242.0,2,2,
27,27,201513772650,20151377265001,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,265.0,1242.0,3,1242.0,1242.0,2,2,
28,28,201513772651,20151377265101,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,9.0,267.0,1242.0,3,1242.0,1242.0,2,2,
29,29,201513772652,20151377265201,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,8.0,281.0,1242.0,3,1242.0,1242.0,2,2,
30,30,201513772653,20151377265301,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,2.0,282.0,1242.0,3,1242.0,1242.0,2,2,
31,31,201513772654,20151377265401,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,285.0,1242.0,3,1242.0,1242.0,2,2,
32,32,201513772655,20151377265501,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,2.0,309.0,1242.0,3,1242.0,1242.0,2,2,
33,33,201513772656,20151377265601,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,12.0,311.0,1242.0,3,1242.0,1242.0,2,2,
34,34,201513772657,20151377265701,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,8.0,323.0,1242.0,3,1242.0,1242.0,2,2,
35,35,201513772658,20151377265801,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,342.0,1242.0,3,1242.0,1242.0,2,2,
36,36,201513772659,20151377265901,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,388.0,1242.0,3,1242.0,1242.0,2,2,
37,37,201513772660,20151377266001,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,16.0,421.0,1242.0,3,1242.0,1242.0,2,2,
38,38,201513772661,20151377266101,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,425.0,1242.0,3,1242.0,1242.0,2,2,
39,39,201513772662,20151377266201,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,9.0,455.0,1242.0,3,1242.0,1242.0,2,2,
40,40,201513772663,20151377266301,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,4.0,456.0,1242.0,3,1242.0,1242.0,2,2,
41,41,201513772664,20151377266401,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,22.0,477.0,1242.0,3,1242.0,1242.0,2,2,
42,42,201513772665,20151377266501,1,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10423,1042302,30423,AUS,US,48,TX,Texas,74,LAX:AUS,91:74,0.0,WN,0.0,WN,WN,WN,WN,0.0,1.0,481.0,1242.0,3,1242.0,1242.0,2,2,
43,43,201513772666,20151377266601,2,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10397,1039705,30397,ATL,US,13,GA,Georgia,34,LAX:AUS:ATL,91:74:34,0.0,WN:WN,0.0,WN:WN,WN,WN,WN,0.0,1.0,301.0,1242.0,3,2055.0,1947.0,2,2,
44,44,201513772667,20151377266701,2,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10693,1069302,30693,BNA,US,47,TN,Tennessee,54,LAX:AUS:BNA,91:74:54,0.0,WN:WN,0.0,WN:WN,WN,WN,WN,0.0,1.0,5.0,1242.0,3,1998.0,1797.0,2,2,
45,45,201513772668,20151377266801,2,2015,1,12892,1289203,32575,LAX,US,6,CA,California,91,10693,1069302,30693,BNA,US,47,TN,Tennessee,54,LAX:AUS:BNA,91:74:54,0.0,WN:WN,0.0,WN:WN,WN,WN,WN,0.0,2.0,161.0,1242.0,3,1998.0,1797.0,2,2,
