account_id,type,operation,amount,balance,k_symbol,bank,account,year,month,day,dayofweek
2259,1,2,700,700,7,13,7665,1993,1,1,4
550,1,2,900,900,7,13,7665,1993,1,1,4
669,1,2,1000,1000,7,13,7665,1993,1,1,4
3627,1,2,600,600,7,13,7665,1993,1,1,4
1877,1,2,400,400,7,13,7665,1993,1,2,5
2505,1,2,1100,1100,7,13,7665,1993,1,2,5
1460,1,2,600,600,7,13,7665,1993,1,3,6
2361,1,2,1100,1100,7,13,7665,1993,1,3,6
1610,1,2,200,200,7,13,7665,1993,1,3,6
754,1,2,800,800,7,13,7665,1993,1,3,6
1641,1,2,1000,1000,7,13,7665,1993,1,3,6
462,1,2,300,300,7,13,7665,1993,1,4,0
2073,1,2,800,800,7,13,7665,1993,1,4,0
2239,1,2,800,800,7,13,7665,1993,1,4,0
2740,1,2,700,700,7,13,7665,1993,1,4,0
2073,1,0,5123,5923,5,12,4802,1993,1,5,1
4366,1,2,400,400,7,13,7665,1993,1,5,1
754,1,0,3401,4201,7,4,477,1993,1,5,1
623,1,2,700,700,7,13,7665,1993,1,5,1
1756,1,2,500,500,7,13,7665,1993,1,6,2
1832,1,2,700,700,7,13,7665,1993,1,6,2
1756,1,0,3242,3742,7,9,3354,1993,1,7,3
3332,1,2,500,500,7,13,7665,1993,1,7,3
1215,1,2,400,400,7,13,7665,1993,1,7,3
1877,1,0,5298,5698,5,10,1145,1993,1,7,3
2274,1,2,900,900,7,13,7665,1993,1,7,3
415,1,2,400,400,7,13,7665,1993,1,8,4
1215,1,2,6774,7174,7,13,7665,1993,1,8,4
181,1,2,300,300,7,13,7665,1993,1,8,4
1610,1,2,11832,12032,7,13,7665,1993,1,8,4
2022,1,2,300,300,7,13,7665,1993,1,8,4
1556,1,2,500,500,7,13,7665,1993,1,8,4
1990,1,2,600,600,7,13,7665,1993,1,8,4
726,1,2,1100,1100,7,13,7665,1993,1,8,4
3414,1,2,600,600,7,13,7665,1993,1,8,4
3677,1,2,300,300,7,13,7665,1993,1,8,4
3311,1,2,800,800,7,13,7665,1993,1,8,4
1416,1,2,200,200,7,13,7665,1993,1,9,5
356,1,2,400,400,7,13,7665,1993,1,9,5
2505,1,2,14264,15364,7,13,7665,1993,1,9,5
1645,1,2,900,900,7,13,7665,1993,1,9,5
623,1,2,13851,14551,7,13,7665,1993,1,9,5
3627,1,2,17366,17966,7,13,7665,1993,1,9,5
2260,1,2,800,800,7,13,7665,1993,1,10,6
2784,1,2,1000,1000,7,13,7665,1993,1,10,6
1547,1,2,700,700,7,13,7665,1993,1,10,6
3414,1,0,6007,6607,5,6,5649,1993,1,10,6
825,1,2,500,500,7,13,7665,1993,1,10,6
1272,1,2,400,400,7,13,7665,1993,1,11,0
550,1,0,6207,7107,5,12,2381,1993,1,11,0
1884,1,2,900,900,7,13,7665,1993,1,11,0
825,1,2,12644,13144,7,13,7665,1993,1,11,0
329,1,2,800,800,7,13,7665,1993,1,11,0
2239,1,0,6434,7234,5,7,2665,1993,1,12,1
2361,1,2,14779,15879,7,13,7665,1993,1,12,1
1832,1,2,4507,5207,7,13,7665,1993,1,12,1
2784,1,2,6446,7446,7,13,7665,1993,1,12,1
1816,1,2,800,800,7,13,7665,1993,1,12,1
669,1,2,17477,18477,7,13,7665,1993,1,12,1
1547,1,0,4276,4976,5,10,1281,1993,1,12,1
2001,1,2,1100,1100,7,13,7665,1993,1,12,1
1416,1,0,5009,5209,5,0,4173,1993,1,13,2
3571,1,2,1000,1000,7,13,7665,1993,1,13,2
1556,1,0,5718,6218,5,10,3477,1993,1,13,2
4029,1,2,800,800,7,13,7665,1993,1,13,2
1641,1,2,13967,14967,7,13,7665,1993,1,13,2
2740,1,2,6959,7659,7,13,7665,1993,1,13,2
3311,1,2,15914,16714,7,13,7665,1993,1,13,2
4366,1,0,4470,4870,5,1,2950,1993,1,14,3
2785,1,2,600,600,7,13,7665,1993,1,14,3
1614,1,2,800,800,7,13,7665,1993,1,14,3
2274,1,2,10737,11637,7,13,7665,1993,1,14,3
3712,1,2,700,700,7,13,7665,1993,1,14,3
4029,1,0,44749,45549,7,4,6206,1993,1,14,3
1646,1,2,200,200,7,13,7665,1993,1,14,3
4487,1,2,1000,1000,7,13,7665,1993,1,14,3
2022,1,2,46552,46852,7,13,7665,1993,1,15,4
2394,1,2,500,500,7,13,7665,1993,1,15,4
462,1,2,13156,13456,7,13,7665,1993,1,16,5
1405,1,2,1000,1000,7,13,7665,1993,1,17,6
3332,1,2,23323,23823,7,13,7665,1993,1,17,6
4420,1,2,1100,1100,7,13,7665,1993,1,17,6
3812,1,2,200,200,7,13,7665,1993,1,18,0
381,1,2,300,300,7,13,7665,1993,1,18,0
3571,1,2,10792,11792,7,13,7665,1993,1,18,0
2212,1,2,200,200,7,13,7665,1993,1,19,1
